Período;ARS;Nº Consultas nos CSP;Nº Consultas CSP (Não Programadas);Nº Consultas CSP (Programadas);Nº Consultas Med CSP (Não Programadas e >= 65)
2017-03-07;ARS Centro;26253.0;14158.0;12095.0;6184.0
2017-03-09;ARS Norte;50983.0;24839.0;26144.0;8962.0
2017-03-09;ARS Centro;22026.0;11634.0;10392.0;4826.0
2017-03-09;ARS Lisboa e Vale do Tejo;29211.0;11617.0;17594.0;4667.0
2017-03-10;ARS Norte;42626.0;22403.0;20223.0;7951.0
2017-03-11;ARS Centro;2124.0;2029.0;95.0;591.0
2017-03-11;ARS Lisboa e Vale do Tejo;2054.0;2041.0;13.0;467.0
2017-03-11;ARS Algarve;419.0;415.0;4.0;125.0
2017-03-12;ARS Centro;1810.0;1793.0;17.0;448.0
2017-03-12;ARS Alentejo;720.0;661.0;59.0;177.0
2017-03-13;ARS Alentejo;9184.0;4752.0;4432.0;2109.0
2017-03-14;ARS Norte;57882.0;29184.0;28698.0;10719.0
2017-03-14;ARS Alentejo;9122.0;4456.0;4666.0;1968.0
2017-03-15;ARS Lisboa e Vale do Tejo;31017.0;12313.0;18704.0;5005.0
2017-03-15;ARS Alentejo;8298.0;4292.0;4006.0;1958.0
2017-03-16;ARS Alentejo;7871.0;4280.0;3591.0;1944.0
2017-03-16;ARS Algarve;3968.0;1891.0;2077.0;773.0
2017-03-17;ARS Centro;18247.0;10682.0;7565.0;4496.0
2017-03-17;ARS Algarve;3832.0;2086.0;1746.0;834.0
2017-03-21;ARS Alentejo;8806.0;4362.0;4444.0;1873.0
2017-03-22;ARS Lisboa e Vale do Tejo;29599.0;11567.0;18032.0;4654.0
2017-03-24;ARS Centro;17089.0;9951.0;7138.0;4124.0
2017-03-24;ARS Lisboa e Vale do Tejo;24486.0;9955.0;14531.0;3996.0
2017-03-25;ARS Alentejo;800.0;730.0;70.0;201.0
2017-03-25;ARS Algarve;350.0;350.0;0.0;90.0
2017-03-26;ARS Norte;2173.0;2173.0;0.0;341.0
2017-03-26;ARS Alentejo;655.0;606.0;49.0;183.0
2017-03-27;ARS Norte;60614.0;32279.0;28335.0;11736.0
2017-03-27;ARS Algarve;4833.0;2505.0;2328.0;967.0
2017-03-29;ARS Alentejo;8391.0;4285.0;4106.0;1919.0
2017-03-30;ARS Centro;22365.0;11653.0;10712.0;4979.0
2017-03-30;ARS Alentejo;7804.0;4017.0;3787.0;1836.0
2017-03-30;ARS Algarve;4132.0;2077.0;2055.0;884.0
2017-04-01;ARS Centro;2058.0;1987.0;71.0;573.0
2017-04-02;ARS Norte;2194.0;2194.0;0.0;407.0
2017-04-02;ARS Centro;1814.0;1814.0;0.0;511.0
2017-04-03;ARS Alentejo;8455.0;4704.0;3751.0;2177.0
2017-04-04;ARS Alentejo;8856.0;4489.0;4367.0;2071.0
2017-04-10;ARS Centro;24509.0;14025.0;10484.0;5912.0
2017-04-10;ARS Lisboa e Vale do Tejo;32361.0;13433.0;18928.0;5376.0
2017-04-12;ARS Alentejo;7695.0;4131.0;3564.0;1935.0
2017-04-14;ARS Centro;1878.0;1878.0;0.0;520.0
2017-04-15;ARS Alentejo;928.0;883.0;45.0;300.0
2017-04-16;ARS Norte;1504.0;1504.0;0.0;257.0
2017-04-16;ARS Algarve;204.0;203.0;1.0;31.0
2017-04-17;ARS Lisboa e Vale do Tejo;31093.0;13596.0;17497.0;5409.0
2017-04-19;ARS Centro;23772.0;13212.0;10560.0;5692.0
2017-04-19;ARS Lisboa e Vale do Tejo;30893.0;12529.0;18364.0;5138.0
2017-04-20;ARS Centro;23598.0;12770.0;10828.0;5471.0
2017-04-21;ARS Alentejo;6681.0;3405.0;3276.0;1532.0
2017-04-23;ARS Norte;2130.0;2130.0;0.0;386.0
2017-04-23;ARS Centro;1811.0;1810.0;1.0;476.0
2017-04-23;ARS Lisboa e Vale do Tejo;1364.0;1364.0;0.0;292.0
2017-04-24;ARS Alentejo;7543.0;4401.0;3142.0;2038.0
2017-04-25;ARS Alentejo;826.0;736.0;90.0;205.0
2017-04-27;ARS Algarve;4369.0;2220.0;2149.0;1013.0
2017-04-28;ARS Centro;17293.0;10433.0;6860.0;4462.0
2017-04-30;ARS Norte;2028.0;2028.0;0.0;345.0
2017-04-30;ARS Centro;1644.0;1634.0;10.0;459.0
2017-05-01;ARS Centro;1782.0;1780.0;2.0;539.0
2017-05-03;ARS Lisboa e Vale do Tejo;32282.0;13956.0;18326.0;5712.0
2017-05-04;ARS Centro;19946.0;11709.0;8237.0;5142.0
2017-05-06;ARS Centro;1953.0;1886.0;67.0;550.0
2017-05-07;ARS Alentejo;640.0;603.0;37.0;152.0
2017-05-08;ARS Algarve;5599.0;2972.0;2627.0;1327.0
2017-05-09;ARS Centro;26860.0;14898.0;11962.0;6539.0
2017-05-11;ARS Norte;29792.0;15086.0;14706.0;5739.0
2017-05-11;ARS Alentejo;6321.0;3550.0;2771.0;1579.0
2017-05-12;ARS Alentejo;1090.0;921.0;169.0;340.0
2017-05-12;ARS Algarve;281.0;203.0;78.0;45.0
2017-05-13;ARS Lisboa e Vale do Tejo;1948.0;1910.0;38.0;423.0
2017-05-14;ARS Centro;1812.0;1812.0;0.0;445.0
2017-05-14;ARS Lisboa e Vale do Tejo;1313.0;1313.0;0.0;274.0
2017-05-14;ARS Algarve;269.0;200.0;69.0;27.0
2017-05-15;ARS Algarve;6127.0;3265.0;2862.0;1462.0
2017-05-16;ARS Algarve;5513.0;2803.0;2710.0;1236.0
2017-05-17;ARS Norte;59127.0;30564.0;28563.0;11591.0
2017-05-17;ARS Lisboa e Vale do Tejo;33955.0;14054.0;19901.0;5846.0
2017-05-20;ARS Centro;1928.0;1868.0;60.0;502.0
2017-05-21;ARS Algarve;312.0;284.0;28.0;55.0
2017-05-23;ARS Alentejo;8385.0;4469.0;3916.0;1971.0
2017-05-25;ARS Norte;51032.0;25013.0;26019.0;9101.0
2017-05-25;ARS Lisboa e Vale do Tejo;27047.0;10700.0;16347.0;4216.0
2017-05-26;ARS Alentejo;4749.0;2619.0;2130.0;1043.0
2017-05-31;ARS Norte;54165.0;27168.0;26997.0;10283.0
2017-05-31;ARS Alentejo;8378.0;4397.0;3981.0;1949.0
2017-06-01;ARS Lisboa e Vale do Tejo;28799.0;11719.0;17080.0;4782.0
2017-06-01;ARS Alentejo;7493.0;3831.0;3662.0;1721.0
2017-06-02;ARS Norte;41934.0;22357.0;19577.0;8156.0
2017-06-02;ARS Algarve;3875.0;2042.0;1833.0;808.0
2017-06-03;ARS Lisboa e Vale do Tejo;1749.0;1717.0;32.0;403.0
2017-06-05;ARS Centro;25352.0;14271.0;11081.0;6029.0
2017-06-06;ARS Algarve;4730.0;2234.0;2496.0;937.0
2017-06-07;ARS Lisboa e Vale do Tejo;29786.0;11978.0;17808.0;4842.0
2017-06-07;ARS Alentejo;7974.0;4148.0;3826.0;1867.0
2017-06-07;ARS Algarve;4540.0;2243.0;2297.0;901.0
2017-06-09;ARS Centro;17347.0;10185.0;7162.0;4342.0
2017-06-10;ARS Norte;2369.0;2309.0;60.0;405.0
2017-06-10;ARS Algarve;312.0;295.0;17.0;89.0
2017-06-11;ARS Algarve;248.0;229.0;19.0;56.0
2017-06-14;ARS Alentejo;7527.0;4142.0;3385.0;1981.0
2017-06-15;ARS Lisboa e Vale do Tejo;1134.0;1134.0;0.0;239.0
2017-06-15;ARS Alentejo;759.0;728.0;31.0;200.0
2017-06-16;ARS Norte;36791.0;21638.0;15153.0;7776.0
2017-06-16;ARS Alentejo;5168.0;2986.0;2182.0;1263.0
2017-06-18;ARS Alentejo;705.0;667.0;38.0;170.0
2017-06-18;ARS Algarve;263.0;222.0;41.0;54.0
2017-06-19;ARS Centro;25310.0;14526.0;10784.0;6343.0
2017-06-20;ARS Norte;53751.0;27781.0;25970.0;10757.0
2017-06-20;ARS Alentejo;8257.0;4301.0;3956.0;1996.0
2017-06-20;ARS Algarve;4873.0;2363.0;2510.0;999.0
2017-06-21;ARS Alentejo;7732.0;4169.0;3563.0;1920.0
2017-06-22;ARS Centro;22754.0;11987.0;10767.0;5342.0
2017-06-26;ARS Algarve;4825.0;2463.0;2362.0;1020.0
2017-07-01;ARS Algarve;308.0;307.0;1.0;67.0
2017-07-02;ARS Alentejo;689.0;671.0;18.0;193.0
2017-07-03;ARS Lisboa e Vale do Tejo;32104.0;14007.0;18097.0;5737.0
2017-07-05;ARS Centro;22245.0;12170.0;10075.0;5325.0
2017-07-05;ARS Alentejo;7248.0;3882.0;3366.0;1777.0
2017-07-07;ARS Alentejo;5635.0;3093.0;2542.0;1424.0
2017-07-09;ARS Lisboa e Vale do Tejo;1081.0;1081.0;0.0;231.0
2017-07-10;ARS Centro;24819.0;14477.0;10342.0;6411.0
2017-07-10;ARS Algarve;4493.0;2334.0;2159.0;945.0
2017-07-11;ARS Alentejo;7642.0;4053.0;3589.0;1900.0
2017-07-12;ARS Norte;49270.0;25277.0;23993.0;9713.0
2017-07-13;ARS Alentejo;6190.0;3183.0;3007.0;1488.0
2017-07-17;ARS Norte;53170.0;29131.0;24039.0;11058.0
2017-07-18;ARS Norte;51642.0;27018.0;24624.0;10257.0
2017-07-19;ARS Centro;20610.0;11589.0;9021.0;5215.0
2017-07-20;ARS Alentejo;6713.0;3535.0;3178.0;1692.0
2017-07-21;ARS Lisboa e Vale do Tejo;22740.0;9450.0;13290.0;3779.0
2017-07-22;ARS Norte;2496.0;2366.0;130.0;523.0
2017-07-22;ARS Centro;2054.0;1957.0;97.0;628.0
2017-07-22;ARS Alentejo;794.0;680.0;114.0;204.0
